Id,Sentences,Aspects,Polarities
es_la-scala-zaragoza_comment-4006,"['En Zaragoza hay Restaurantes correctos, buenos, muy buenos,Restaurantes a los que no vuelves, los que pasan desapercibidos, mediocres y pésimos como por ejemplo La Scala.', 'Afirmar que en ese local se pueden degustar verdaderas delicias es una auténtica temeridad.', 'Para olvidar. ']","['RESTAURANT', 'FOOD']","['negative', 'negative']"
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,"['Fui, una vez más, con un amigo a comer al Restaurante Barceloneta.', 'Nunca defrauda.', 'Productos de calidad óptima, elaborados magníficamente.', 'Siempre es igual de excelente, con un servicio impecable.', 'Un Jefe de Sala que siempre recuerda y saluda a los cliente habituales, aunque hayan pasado meses desde la última vez que visitaron el restaurante.', 'Un valor seguro.', 'Un Blue chip de la restauración.']","['RESTAURANT', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive']"
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,"['Es muy buen restaurante.', 'Ya habiamos estado en el anterior en la calle muntaner.', 'Este es mucho mas elegante, el trato muy correcto y la ambientacion te hace sentir muy a gusto.', 'La comida de calidad.', 'Recomiendo los calots rebozados.', 'Sin duda repetiremos.']","['RESTAURANT', 'SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'positive', 'positive', 'positive']"
es_balmes_rossello_83_CarlosLopezRodriguez_2012-12-23,['Perfecto.'],['RESTAURANT'],['positive']
es_colette-zaragoza_comment-1142,"['Ayer estuvimos cenando en Colette.', 'Excelente cena', 'Hacía mucho tiempo que un restaurante en Zaragoza no me sorprendía de esta manera Gran calidad del producto, numerosos detalles, puntos de cocción perfectos en casi todos los platos, raciones abundantes y un precio elevado pero ajustado a la calidad.El servicio fue atento y educado aunque tuvo algún pequeño fallo como servir la segunda botella de vino en las copas en que aún quedaba algo de la anteriorDe comienzo una buena variedad de panes pizza, oliva verde, oliva negra,  con un cuenquito de aceite de oliva con tomate mozzarella y albahaca.', 'Unos aperitivos ofrecidos por la casa con un cóctel de martini blanco enfriado con nitrógeno líquido y una pastilla de foie micuit envuelto en frambuesa con sidral y algodón de coco.', 'Muy logrados ambos.', 'Como entrantes compartimos un carpaccio de buey de Kobe, excelente, sabrosísimo. una tempura de comenillas rellenas de foie y alchofas una cola entera de bogavante a la plancha con salsa de su coral muy sabrosa, aunque un poco pasada de puntoAntes del segundo la casa nos ofreció un pinco de membrillo y queso en tempura presentado en un palo de canela encendido.', 'Muy original presentación y muy lograda la combinación.Los segundos fueron un poco más tradicionales', ' Solomillo con foie y setas de temporada gigantesca ración y punto exactamente como se pidió, cosa poco común.', ' Jarrete a baja temperatura con salsa caramelizada y puré trufado.', 'Extraordinario sabor y textura.', ' Rape con couscous y chipirón.', 'Gran taco de rape cocido en su punto y muy sabroso.', ' Pichón.', 'Sólo las pechugas.', 'Tal vez podria haber estado un poco menos hecho, pero muy sabroso y también acompañado por un excelente puré.', 'Otro entretenimiento de la casa antes del postre con unas migas con fresas deshidratadas y confitadas con sopa de vainilla servida en una copita de hielo secos para que hiciera un efecto de volcán burbujeante.', 'Espectacular y muy sabroso.', 'Sólo pedimos dos postres y la verdad es que fueron lo más flojo de la cena', ' Una tarta crujiente de manzana con helado de vainilla. Un coulante de chocolate con helado de marron glacé.', 'Cuando ya estábamos terminando los cafés nos trajeron unos pastelillos.', 'Ahí se quedaron la mayoría, eran bastante normalillos y además ya no podíamos más.En resumen 280  para 4 personas incluyendo dos botellas de Enate Merlotmerlot que contribuyeron en 60  a la cuentaCreo que una cuenta nada desproporcionada con la calidad y cantidad de la comida y de los detalles que nos ofrecieron.', 'Un buen sitio, a seguir.', 'Si mantienen el nivel de innovación y calidad puede ser un soplo de aire fresco en Zaragoza.', 'P.D.', 'Por lo que leo en comentarios anteriores han debido reducir los precios, pues ayer la tempura de colmenillas y foie costaba 18  y no los 22 que se mencionan en otro comentario.', 'Si es así, bien hecho. ']","['FOOD', 'FOOD', 'RESTAURANT', 'SERVICE', 'RESTAURANT']","['positive', 'positive', 'neutral', 'neutral', 'positive']"
es_9reinas_55_JoseMCazorlaMontero_2011-11-03,"['Tomamos Vacío y Entrañas especialidades conocidas, entre otras cosas, por lo blando de su carne.', 'En algunos momentos, nos llegamos a preguntar si lo que teníamos en la boca era carne o un trozo de neumático.', 'Decepcionante...']","['FOOD', 'RESTAURANT']","['negative', 'negative']"
es_l_olive_74_Claudia_2008-05-16,"['estuvimos ayer mi marido y yo para celebrar su cumpleaños.', 'Y la verdad que lo pasamos estupendo.', 'La comida muy pero muy buena, áun me acuerdo del foie y de mangret de pato con salsa de fresa.', 'Me ha encantado.', 'Es verdad que los camareros van con mucha prisa, pero a nosotros nos ha ido bien, porque después de cenar teníamos que ir al teatro, y aun así salimos del restaurante corriendo.']","['RESTAURANT', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive']"
es_barceloneta_61_ConsueloMateosCandeleda_2012-04-07,"['A pesar de ser un restaurante de pescado y marisco, mi marido encontró buenísimo el filete a la pimienta verde que pidió.', 'El trato muy bueno.', 'Yo pedí una mesa bien situada y atendieron la petición, nos dieron una con muy buenas vistas.']","['FOOD', 'SERVICE', 'AMBIENCE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_120_Gabriela_2008-07-18,['Servicio impecable y se come de maravilla'],"['SERVICE', 'RESTAURANT']","['positive', 'positive']"
es_salamanca_18_BegHispaniaLuisClaver_2014-12-15,"['Nos pusieron en la terraza, sin avisar previamente.', 'En la mesa faltaban 3 cubiertos, habiendo confirmado previamente el número de comensales el mismo día.', 'Había un nivel de ruido excesivamente alto, muy molesto y del menú que contratamos casi no vimos ni un plato, prácticamente, nos trajeron prácticamente lo que quisieron.']","['AMBIENCE', 'SERVICE', 'FOOD', 'RESTAURANT']","['negative', 'negative', 'negative', 'negative']"
